Счет;Стратегия;Контракт;Время;Дата;Откр.;Закр.;Время;Лот;Напр.;Маржа;Прибыль;Пункты;Бирж. комис.;Брок. комис.;Вход;Выход;Макс. лот;
b44530979;FuBTC_0811_3;BTCUSDT;2020-11-10 00:59:48.832;2020-11-10;00:59:48.832;01:00:05.857;00:00:17.025;0.03;buy;-23.030505;-21.62112296;-1004;-1.40938203;0;15365.3;15355.3;0.03;
b44530979;FuBTC_0211_2;BTCUSDT;2020-11-10 01:24:08.608;2020-11-10;01:24:08.608;01:24:13.162;00:00:04.554;0.31;sell;16.118295;30.71896688;68;-14.60067188;0;15399.7;15399;0.31;
b44530979;FuBTC_0811_3;BTCUSDT;2020-11-10 01:24:13.162;2020-11-10;01:24:13.162;01:24:13.740;00:00:00.578;0.03;buy;21.76887375;23.18182658;949;-1.41295283;0;15394.5;15404;0.03;
b44530979;FuBTC_0811_2;BTCUSDT;2020-11-10 01:24:13.162;2020-11-10;01:24:13.162;01:24:13.740;00:00:00.578;0.02;buy;9.84837;10.79041323;644;-0.94204323;0;15397.2;15403.6;0.02;
b44530979;FuBTC_0211_2;BTCUSDT;2020-11-10 01:33:36.525;2020-11-10;01:33:36.525;01:33:45.160;00:00:08.635;0.31;buy;124.205685;138.73891619;524;-14.53323119;0;15325.6;15330.9;0.31;
b44530979;FuBTC_0811_2;BTCUSDT;2020-11-10 01:34:43.515;2020-11-10;01:34:43.515;01:34:49.987;00:00:06.472;0.02;sell;15.873615;16.81164165;1038;-0.93802665;0;15340;15329.6;0.02;
b44530979;FuBTC_0211_2;BTCUSDT;2020-11-10 01:34:58.210;2020-11-10;01:34:58.210;01:35:17.829;00:00:19.619;0.31;buy;41.2438725;55.77515008;174;-14.53127758;0;15325.3;15327;0.31;
b44530979;FuBTC_0211_2;BTCUSDT;2020-11-10 01:36:59.049;2020-11-10;01:36:59.049;01:37:01.922;00:00:02.873;0.31;buy;-41.00683875;-26.49507822;-173;-14.51176052;0;15306.4;15304.7;0.31;
b44530979;QcBTC_2910_6;BTCUSDT;2020-11-10 01:36:59.051;2020-11-10;01:36:59.051;01:40:56.267;00:03:57.216;0.18;buy;-840.2464125;-871.69247965;-6105;31.44606715;0;15301.1;15240;0.18;
b44530979;QcBTC_2910_3;BTCUSDT;2020-11-10 01:36:59.051;2020-11-10;01:36:59.051;01:37:11.129;00:00:12.078;0.12;buy;-184.519305;-205.54721048;-2011;21.02790548;0;15301.1;15281;0.057;
b44530979;QcBTC_2910_1;BTCUSDT;2020-11-10 01:36:59.051;2020-11-10;01:36:59.051;01:40:56.267;00:03:57.216;0.12;buy;-560.164275;-581.12832053;-6105;20.96404553;0;15301.1;15240;0.082;
b44530979;SaBTC_2210_2;BTCUSDT;2020-11-10 01:36:59.188;2020-11-10;01:36:59.188;01:37:00.702;00:00:01.514;0.07;buy;-1.8198075;1.45701205;-34;-3.27681955;0;15305.6;15305.3;0.07;
